PT0008,Vila Gale Estoril 4*,individual,cascais si estoril,16.11-22.11,dinamic luata dupa calcul
TR1601,Kaya Artemis,individual,cipru de nord,16.11-19.11,dinamic luata dupa calcul
TR1602,Vuni Palace,individual,cipru de nord,16.11-19.11,dinamic luata dupa calcul
CY0060,Salamis Bay Conti,individual,cipru de nord,16.11-19.11,dinamic luata dupa calcul
IT0314,Kalos 3*,individual,sicilia,16.11-19.11,dinamic luata dupa calcul
IT0227,Sporting Baia 4*,individual,sicilia,16.11-19.11,dinamic luata dupa calcul
IT0068,Nike 4*,individual,sicilia,16.11-19.11,dinamic luata dupa calcul
IT0078,Corte Rosada 4* Porto Conte,individual,sardinia,17.11,dinamic luata dupa calcul
IT0275,Florida 3* Alghero,individual,sardinia,17.11,dinamic luata dupa calcul
IT0273,Residence Europa 3* Alghero,individual,sardinia,17.11,dinamic luata dupa calcul
IT0389,Residence Buganvillea - Eucalipti - Gardenia 3* Alghero,individual,sardinia,17.11,dinamic luata dupa calcul
